date,time,kg,m/s,kj,datetime,timediv h
2019-01-01,09:00,194.0,8.4,6.844320000000001,2019-01-01 09:00:00,22
2019-01-01,21:00,224.0,8.8,8.67328,2019-01-01 21:00:00,12
2019-01-02,14:00,3104.0,9.2,131.36127999999997,2019-01-02 14:00:00,17
2019-01-04,15:00,228.0,8.0,7.296,2019-01-04 15:00:00,49
2019-01-05,23:00,755.0,7.0,18.4975,2019-01-05 23:00:00,32
2019-01-08,16:00,215.0,6.5,4.541875,2019-01-08 16:00:00,65
2019-01-10,10:00,300.0,7.9,9.3615,2019-01-10 10:00:00,42
2019-01-11,08:00,1019.0,10.4,55.10752,2019-01-11 08:00:00,22
2019-01-13,08:00,1288.0,10.8,75.11616000000001,2019-01-13 08:00:00,48
2019-01-15,05:00,344.0,10.0,17.2,2019-01-15 05:00:00,45
2019-01-17,14:00,707.0,6.0,12.726,2019-01-17 14:00:00,57
2019-01-17,18:00,938.0,10.2,48.79476,2019-01-17 18:00:00,4
2019-01-18,01:00,79.0,6.9,1.8805950000000002,2019-01-18 01:00:00,7
2019-01-20,03:00,260.0,11.2,16.307199999999998,2019-01-20 03:00:00,50
2019-01-23,08:00,220.0,9.1,9.109099999999998,2019-01-23 08:00:00,77
2019-01-23,10:00,253.0,10.1,12.904264999999999,2019-01-23 10:00:00,2
2019-01-23,14:00,2177.0,7.6,62.871759999999995,2019-01-23 14:00:00,4
2019-01-24,02:00,827.0,8.5,29.875375,2019-01-24 02:00:00,12
2019-01-24,04:00,208.0,11.2,13.045759999999998,2019-01-24 04:00:00,2
2019-01-25,04:00,79.0,9.4,3.4902200000000008,2019-01-25 04:00:00,24
2019-01-26,20:00,1456.0,7.1,36.698479999999996,2019-01-26 20:00:00,40
2019-01-27,10:00,464.0,7.8,14.11488,2019-01-27 10:00:00,14
2019-01-31,16:00,1131.0,6.4,23.162880000000005,2019-01-31 16:00:00,102
2019-02-03,03:00,140.0,12.6,11.113199999999999,2019-02-03 03:00:00,59
2019-02-04,12:00,274.0,10.3,14.534330000000002,2019-02-04 12:00:00,33
2019-02-05,03:00,12.0,8.8,0.4646400000000001,2019-02-05 03:00:00,15
2019-02-05,04:00,419.0,10.9,24.890695,2019-02-05 04:00:00,1
2019-02-06,14:00,292.0,8.4,10.30176,2019-02-06 14:00:00,34
2019-02-08,12:00,169.0,6.5,3.570125,2019-02-08 12:00:00,46
2019-02-08,12:00,308.0,9.0,12.474,2019-02-08 12:00:00,0
2019-02-09,23:00,3040.0,10.4,164.4032,2019-02-09 23:00:00,35
2019-02-10,04:00,454.0,7.1,11.44307,2019-02-10 04:00:00,5
2019-02-11,20:00,554.0,8.7,20.966129999999993,2019-02-11 20:00:00,40
2019-02-12,17:00,524.0,4.3,4.844379999999999,2019-02-12 17:00:00,21
2019-02-15,13:00,123.0,9.7,5.786534999999999,2019-02-15 13:00:00,68
2019-02-15,18:00,214.0,10.8,12.480480000000002,2019-02-15 18:00:00,5
2019-02-17,09:00,74.0,9.7,3.4813299999999994,2019-02-17 09:00:00,39
2019-02-17,12:00,845.0,4.7,9.333025000000001,2019-02-17 12:00:00,3
2019-02-18,03:00,567.0,8.2,19.06254,2019-02-18 03:00:00,15
2019-02-20,13:00,218.0,7.3,5.80861,2019-02-20 13:00:00,58
2019-02-21,00:00,609.0,12.4,46.81992,2019-02-21 00:00:00,11
2019-02-23,12:00,404.0,10.7,23.126979999999996,2019-02-23 12:00:00,60
2019-02-23,20:00,1042.0,10.5,57.44025,2019-02-23 20:00:00,8
2019-02-23,21:00,294.0,9.8,14.117880000000003,2019-02-23 21:00:00,1
2019-02-25,22:00,1917.0,9.5,86.504625,2019-02-25 22:00:00,49
2019-02-26,17:00,1175.0,9.6,54.144,2019-02-26 17:00:00,19
2019-02-26,23:00,1315.0,3.6,8.5212,2019-02-26 23:00:00,6
2019-03-01,15:00,873.0,6.3,17.324685,2019-03-01 15:00:00,64
2019-03-01,19:00,505.0,8.6,18.674899999999997,2019-03-01 19:00:00,4
2019-03-01,21:00,191.0,10.8,11.13912,2019-03-01 21:00:00,2
2019-03-02,21:00,236.0,8.7,8.931419999999997,2019-03-02 21:00:00,24
2019-03-04,23:00,129.0,8.3,4.443405,2019-03-04 23:00:00,50
2019-03-07,10:00,555.0,8.2,18.6591,2019-03-07 10:00:00,59
2019-03-07,14:00,401.0,9.5,18.095125,2019-03-07 14:00:00,4
2019-03-07,19:00,440.0,9.5,19.855,2019-03-07 19:00:00,5
2019-03-10,12:00,286.0,8.4,10.09008,2019-03-10 12:00:00,65
2019-03-10,18:00,154.0,11.6,10.361120000000001,2019-03-10 18:00:00,6
2019-03-11,13:00,463.0,7.3,12.336635,2019-03-11 13:00:00,19
2019-03-11,20:00,539.0,14.1,53.579294999999995,2019-03-11 20:00:00,7
2019-03-12,18:00,2040.0,11.9,144.4422,2019-03-12 18:00:00,22
2019-03-12,19:00,460.0,6.9,10.9503,2019-03-12 19:00:00,1
2019-03-17,12:00,185.0,6.5,3.908125,2019-03-17 12:00:00,113
2019-03-17,12:00,422.0,10.0,21.1,2019-03-17 12:00:00,0
2019-03-18,16:00,167.0,8.9,6.614035,2019-03-18 16:00:00,28
2019-03-22,18:00,2847.0,7.0,69.7515,2019-03-22 18:00:00,98
2019-03-26,00:00,44.0,8.9,1.74262,2019-03-26 00:00:00,78
2019-03-26,06:00,45.0,8.4,1.5876000000000001,2019-03-26 06:00:00,6
2019-03-27,16:00,312.0,5.8,5.24784,2019-03-27 16:00:00,34
